 TimeStamp manip.manip_measure_out_port manip.force_transmission_out_port manip.q_hand_out_port.0 manip.q_hand_out_port.1 manip.q_hand_out_port.2 manip.q_hand_out_port.3 tt.outport_grip.position.x tt.outport_grip.position.y tt.outport_grip.position.z tt.outport_grip.orientation.x tt.outport_grip.orientation.y tt.outport_grip.orientation.z tt.outport_grip.orientation.w jr3.ForceTorqueOutputPort.forces.0 jr3.ForceTorqueOutputPort.forces.1 jr3.ForceTorqueOutputPort.forces.2 jr3.ForceTorqueOutputPort.torques.0 jr3.ForceTorqueOutputPort.torques.1 jr3.ForceTorqueOutputPort.torques.2 test.cart_pose_loop_out_port.p.X test.cart_pose_loop_out_port.p.Y test.cart_pose_loop_out_port.p.Z test.cart_pose_loop_out_port.M.X_x test.cart_pose_loop_out_port.M.X_y test.cart_pose_loop_out_port.M.X_z test.cart_pose_loop_out_port.M.Y_x test.cart_pose_loop_out_port.M.Y_y test.cart_pose_loop_out_port.M.Y_z test.cart_pose_loop_out_port.M.Z_x test.cart_pose_loop_out_port.M.Z_y test.cart_pose_loop_out_port.M.Z_z test.tcp_pose_out_port.p.X test.tcp_pose_out_port.p.Y test.tcp_pose_out_port.p.Z test.tcp_pose_out_port.M.X_x test.tcp_pose_out_port.M.X_y test.tcp_pose_out_port.M.X_z test.tcp_pose_out_port.M.Y_x test.tcp_pose_out_port.M.Y_y test.tcp_pose_out_port.M.Y_z test.tcp_pose_out_port.M.Z_x test.tcp_pose_out_port.M.Z_y test.tcp_pose_out_port.M.Z_z stiff.cart_stiffdamp_out_port.stiffness.0 stiff.cart_stiffdamp_out_port.stiffness.1 stiff.cart_stiffdamp_out_port.stiffness.2 stiff.cart_stiffdamp_out_port.stiffness.3 stiff.cart_stiffdamp_out_port.stiffness.4 stiff.cart_stiffdamp_out_port.stiffness.5 stiff.cart_stiffdamp_out_port.damping.0 stiff.cart_stiffdamp_out_port.damping.1 stiff.cart_stiffdamp_out_port.damping.2 stiff.cart_stiffdamp_out_port.damping.3 stiff.cart_stiffdamp_out_port.damping.4 stiff.cart_stiffdamp_out_port.damping.5 lwr.current_joint_values.angles.0 lwr.current_joint_values.angles.1 lwr.current_joint_values.angles.2 lwr.current_joint_values.angles.3 lwr.current_joint_values.angles.4 lwr.current_joint_values.angles.5 lwr.current_joint_values.angles.6
 0.110977 0.016587 0.00412431  20.7492 3.6206 -19.9035 2.09011   -0.00677928 0.264016 -0.0797584  -0.158646 0.53237 -0.309753 0.771665   -0.0946045 0.296509 0.469971  0.420227 0.374451 0.0410156   -0.584334 -0.0889793 0.600294  0.652541 0.491917 -0.576375 0.552354 -0.829506 -0.0826102 -0.518744 -0.264457 -0.812999   -0.694333 -0.145057 0.427897  0.652541 0.491917 -0.576375 0.552354 -0.829506 -0.0826102 -0.518744 -0.264457 -0.812999   3358.97 2865.68 10 201.538 171.941 0.6  0 0 0 0 0 0   2.65699 -0.58975 0.953036 1.1585 -0.251593 -0.995736 -0.236778 
 0.120945 0.016587 0.00412431  20.7492 3.6206 -19.9035 2.09011   -0.00677928 0.264016 -0.0797584  -0.158646 0.53237 -0.309753 0.771665   -0.0946045 0.317688 0.469971  0.519104 0.249634 -0.0410156   -0.584334 -0.0889793 0.600294  0.652541 0.491917 -0.576375 0.552354 -0.829506 -0.0826102 -0.518744 -0.264457 -0.812999   -0.694333 -0.145057 0.427897  0.652541 0.491917 -0.576375 0.552354 -0.829506 -0.0826102 -0.518744 -0.264457 -0.812999   3358.97 2865.68 10 201.538 171.941 0.6  0 0 0 0 0 0   2.65699 -0.58975 0.953036 1.1585 -0.251593 -0.995736 -0.236778 
 0.130942 0.016587 0.00412431  20.7492 3.6206 -19.9035 2.09011   -0.00677928 0.264016 -0.0797584  -0.158646 0.53237 -0.309753 0.771665   -0.0189209 0.402405 0.657959  0.617981 0.249634 0.123047   -0.584334 -0.0889793 0.600294  0.652541 0.491917 -0.576375 0.552354 -0.829506 -0.0826102 -0.518744 -0.264457 -0.812999   -0.694333 -0.145057 0.427897  0.652541 0.491917 -0.576375 0.552354 -0.829506 -0.0826102 -0.518744 -0.264457 -0.812999   3358.97 2865.68 10 201.538 171.941 0.6  0 0 0 0 0 0   2.65699 -0.58975 0.953036 1.1585 -0.251593 -0.995736 -0.236778 
 0.140984 0.016587 0.00412431  20.7492 3.6206 -19.9035 2.09011   -0.00677928 0.264016 -0.0797584  -0.158646 0.53237 -0.309753 0.771665   -0.0946045 0.317688 0.657959  0.395508 0.174744 -0.0410156   -0.584334 -0.0889793 0.600294  0.652541 0.491917 -0.576375 0.552354 -0.829506 -0.0826102 -0.518744 -0.264457 -0.812999   -0.694333 -0.145057 0.427897  0.652541 0.491917 -0.576375 0.552354 -0.829506 -0.0826102 -0.518744 -0.264457 -0.812999   3358.97 2865.68 10 201.538 171.941 0.6  0 0 0 0 0 0   2.65699 -0.58975 0.953036 1.1585 -0.251593 -0.995736 -0.236778 
 0.150977 0.016587 0.00412431  20.7492 3.6206 -19.9035 2.09011   -0.00677928 0.264016 -0.0797584  -0.158646 0.53237 -0.309753 0.771665   -0.113525 0.402405 0.657959  0.617981 0.249634 0.0410156   -0.584334 -0.0889793 0.600294  0.652541 0.491917 -0.576375 0.552354 -0.829506 -0.0826102 -0.518744 -0.264457 -0.812999   -0.694333 -0.145057 0.427897  0.652541 0.491917 -0.576375 0.552354 -0.829506 -0.0826102 -0.518744 -0.264457 -0.812999   3358.97 2865.68 10 201.538 171.941 0.6  0 0 0 0 0 0   2.65699 -0.58975 0.953036 1.1585 -0.251593 -0.995736 -0.236778 
 0.160976 0.016587 0.00412431  20.7492 3.6206 -19.9035 2.09011   -0.00677928 0.264016 -0.0797584  -0.158646 0.53237 -0.309753 0.771665   -0.0946045 0.211792 0.704956  0.420227 0.374451 -0.0410156   -0.584334 -0.0889793 0.600294  0.652541 0.491917 -0.576375 0.552354 -0.829506 -0.0826102 -0.518744 -0.264457 -0.812999   -0.694333 -0.145057 0.427897  0.652541 0.491917 -0.576375 0.552354 -0.829506 -0.0826102 -0.518744 -0.264457 -0.812999   3358.97 2865.68 10 201.538 171.941 0.6  0 0 0 0 0 0   2.65699 -0.58975 0.953036 1.1585 -0.251593 -0.995736 -0.236778 
 0.170962 0.0174035 0.00283295  20.7275 3.64314 -19.892 2.05437   0.00458934 0.271519 -0.0829592  -0.108052 0.80494 0.011752 -0.583317   -0.245972 0.211792 0.516968  0.420227 0.349487 0.0410156   -0.584334 -0.0889793 0.600294  0.652541 0.491917 -0.576375 0.552354 -0.829506 -0.0826102 -0.518744 -0.264457 -0.812999   -0.694333 -0.145057 0.427897  0.652541 0.491917 -0.576375 0.552354 -0.829506 -0.0826102 -0.518744 -0.264457 -0.812999   3423.29 3015.64 10 205.397 180.939 0.6  0 0 0 0 0 0   2.65699 -0.58975 0.953036 1.1585 -0.251593 -0.995736 -0.236778 
 0.181002 0.0174035 0.00283295  20.7275 3.64314 -19.892 2.05437   0.00458934 0.271519 -0.0829592  -0.108052 0.80494 0.011752 -0.583317   -0.170288 0.232971 0.516968  0.395508 0.174744 -0.123047   -0.584333 -0.0889793 0.600294  0.652542 0.491917 -0.576374 0.552354 -0.829506 -0.0826099 -0.518743 -0.264456 -0.813   -0.694333 -0.145057 0.427897  0.652542 0.491917 -0.576374 0.552354 -0.829506 -0.0826099 -0.518743 -0.264456 -0.813   3423.29 3015.64 10 205.397 180.939 0.6  0 0 0 0 0 0   2.65699 -0.58975 0.953036 1.1585 -0.251593 -0.995736 -0.236778 
 0.190974 0.0174035 0.00283295  20.7275 3.64314 -19.892 2.05437   0.00458934 0.271519 -0.0829592  -0.108052 0.80494 0.011752 -0.583317   -0.0946045 0.317688 0.845947  0.420227 0.174744 0.0410156   -0.584334 -0.0889793 0.600294  0.652541 0.491917 -0.576375 0.552354 -0.829506 -0.0826102 -0.518744 -0.264457 -0.812999   -0.694333 -0.145057 0.427897  0.652541 0.491917 -0.576375 0.552354 -0.829506 -0.0826102 -0.518744 -0.264457 -0.812999   3423.29 3015.64 10 205.397 180.939 0.6  0 0 0 0 0 0   2.65699 -0.58975 0.953036 1.1585 -0.251593 -0.995736 -0.236778 
 0.200983 0.0174035 0.00283295  20.7275 3.64314 -19.892 2.05437   0.00458934 0.271519 -0.0829592  -0.108052 0.80494 0.011752 -0.583317   -0.0946045 0.296509 0.469971  0.420227 0.274597 0.0410156   -0.584333 -0.0889793 0.600294  0.652542 0.491917 -0.576374 0.552354 -0.829506 -0.0826099 -0.518743 -0.264456 -0.813   -0.694333 -0.145057 0.427897  0.652542 0.491917 -0.576374 0.552354 -0.829506 -0.0826099 -0.518743 -0.264456 -0.813   3423.29 3015.64 10 205.397 180.939 0.6  0 0 0 0 0 0   2.65699 -0.58975 0.953036 1.1585 -0.251593 -0.995736 -0.236778 
